username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Jacqueline Weiden PhD ☮️🇺🇦🏳️‍🌈#BLM🏳️‍⚧️,126538715,NYC sometimes,2023-01-18 23:30:11,@AndrewCicchett1 That’s my daughter! Only more dramatic based on the kool aid she drank. Accused me of crimes that… https://t.co/raj82Kxkjg,0,Twitter for iPhone,
Oswald Feliz,910920538448678913,"Bronx, NY",2023-01-18 21:57:24,"Unlicensed smoke shops have popped up everywhere in our city, undermining the legal market built for people affecte… https://t.co/2osK5pLfqF",1,Twitter for iPhone,
D.A II 🗽♐️🥂,1230889321785384960,"Queens, NY",2023-01-18 21:42:29,@the1onewon Lmao I want to be a drug dealing gangster so bad,0,Twitter for iPhone,
PUERTO RICAN ALCHEMIST,30663037,"Bronx, NY",2023-01-18 20:33:04,If there’s one thing Dry January has reaffirmed for me is music was and is my first drug,0,Twitter for iPhone,
Chris,1525647186024972289,"Bronx, NY",2023-01-18 19:03:33,@OmkarNa34131729 @mortalia444 @LoganPaul @jakepaul that hasn’t been proven true. That girl kept fumbling her story.… https://t.co/SF2pLTXbsF,0,Twitter for iPhone,
Ari Fantis,49248817,New York,2023-01-18 18:54:49,"@ScottMendelson @TheWrap Because it's one thing to address that Elvis Presley, Whitney Houston and Freddie Mercury… https://t.co/Fn3ZjdbJRA",2,Twitter for Android,
那個人,1070622134685249536,Uptown,2023-01-18 18:34:48,@Ididntsaythat6 @choeshow @MayorofSeattle @SeattleCouncil @SeattlePD @SeattleParks Probably involved in some drug dealing/consuming too.,0,Twitter Web App,
Lex Da Don💙,1598887640882941953,"Bronx, NY",2023-01-18 17:12:03,@niicole__nicole Coke was a white collar drug crack mmmm is not but now coke is cheap and crack has always been wack or w.e Whitney said 😩😭,0,Twitter for iPhone,
CNBC Events,422293154,"Englewood Cliffs, NJ",2023-01-18 15:53:02,"March 29th &gt; Our annual #HealthyReturns Summit convenes, and we're gathering investors and innovators in the health… https://t.co/nQQRwtAIT4",5,Twitter Web App,
Boe Diddly,264492987,Uptown,2023-01-18 15:49:42,They keep Drug testing Ja 😂😂😂. Everybody and their momma from North Carolina and South Carolina got bunnies like that. IJS,0,Twitter for iPhone,
K.rel_W💙✨🍃,890781668491096067,"Bronx, NY",2023-01-18 14:05:44,"@goat_47 No cap, these boys getting drug test regularly now",0,Twitter for iPhone,
🇵🇷,24103080,"Bronx, NY",2023-01-18 13:29:32,"@RahlDeal @AvaJeromeStan Between that, and her saying Harmony is a better option than Nina..when Harmony groomed he… https://t.co/pPO40NsdKk",0,Twitter for iPhone,
Orlando V,1361315222057848833,Bronx NY ,2023-01-18 04:00:05,@RetroCoast Not For the Drug dealers no Credit just Dirty Money and they are Living it UP.,0,Twitter Web App,
🦆,914976117592817664,"Bronx, NY",2023-01-18 00:48:31,Hope he thinks imma drug dealer that’d be cool,0,Twitter for iPhone,
James B Kepple,23344344,"Harlem, New York",2023-01-17 23:12:36,@NYCMayor you literally have taken away a womans right to choose for her own body &amp; her children by disallowing the… https://t.co/RC6kbqRArq,0,Twitter Web App,
Shelly Friedland,3884134881,"Upper West Side, Manhattan",2023-01-17 22:18:58,@NickTagliaferro How about the FDA?  50 states reviewing drug safety standards?  Great idea! He seems to object to… https://t.co/7hEpIkYOPV,0,Twitter Web App,
Justin Feinberg,1482152921181605888,"Astoria, NY",2023-01-17 21:29:47,"@PFTCommenter Not a drug guy, defintely a hat guy",0,Twitter for iPhone,
Liam Whelan,1536107558,Fairview ,2023-01-17 21:24:55,"@gardainfo , the pure lack of presence on places like lower abbey street is utterly shocking yet @dublincouncil wil… https://t.co/kmSF6urpWh",1,Twitter for iPhone,
Liam Whelan,1536107558,Fairview ,2023-01-17 21:12:25,@GardaTraffic @gardainfo I work in a premises abbey street the lack or presence of an gardaí is shocking especially… https://t.co/wpRIWJy3wV,0,Twitter for iPhone,
HotSauce-SZN,718226887873585154,"Bronx, NY",2023-01-17 20:57:08,@JaMorant Aren't they suppose to drug test you 3 times per season and I forgot how many times in the off-season,0,Twitter for Android,
Speedy Djac,4808465116,"Bronx, NY",2023-01-17 20:13:14,@20sheartthrob @DailyLoud How do we know he's actually being drug tested?,1,Twitter for Android,
Anthony Ruggiero,835816450455711744,"Bronx, NY",2023-01-17 20:08:34,@trixareforlibs @SilverBurnerAG Here's what policy priorities look like and how access to housing (even for drug ad… https://t.co/N08jzPjFWx,0,Twitter for Android,
Anthony Ruggiero,835816450455711744,"Bronx, NY",2023-01-17 20:06:45,"@trixareforlibs @SilverBurnerAG All true, drug addiction is an antecedent/precedent factor in homelessness. But as… https://t.co/QXOi5v2C1B",0,Twitter for Android,
D. Hall,1004466057313169408,"Bronx, NY",2023-01-17 19:31:59,Ja Morant got drug tested 6 times this season… Wow!!!,0,Twitter for iPhone,
